,Date,d_number,Month,Year,Volume,Open,High,Low,Close,DJIA,inflation_close
0,2013-11-07,1.0,11.0,2013.0,117701600.0,45.1,50.09,44.0,44.9,15593.98,48.4
1,2013-11-08,2.0,11.0,2013.0,27925300.0,45.93,46.94,40.69,41.65,15761.78,44.9
2,2013-11-11,3.0,11.0,2013.0,16113900.0,40.5,43.0,39.4,42.9,15783.1,46.24
3,2013-11-12,4.0,11.0,2013.0,6316700.0,43.66,43.78,41.83,41.9,15750.67,45.16
4,2013-11-13,5.0,11.0,2013.0,8688300.0,41.03,42.87,40.76,42.6,15821.63,45.92
5,2013-11-14,6.0,11.0,2013.0,11099400.0,42.34,45.67,42.24,44.69,15876.22,48.17
6,2013-11-15,7.0,11.0,2013.0,8010600.0,45.25,45.27,43.43,43.98,15961.7,47.41
7,2013-11-18,8.0,11.0,2013.0,12810600.0,43.5,43.95,40.85,41.14,15976.02,44.35
8,2013-11-19,9.0,11.0,2013.0,7436600.0,41.39,41.9,40.0,41.75,15967.03,45.0
9,2013-11-20,10.0,11.0,2013.0,5767300.0,41.4,41.75,40.51,41.05,15900.82,44.25
10,2013-11-21,11.0,11.0,2013.0,8324700.0,41.25,42.49,40.37,42.06,16009.99,45.34
11,2013-11-22,12.0,11.0,2013.0,6185200.0,41.81,42.28,40.97,41.0,16064.77,44.19
12,2013-11-25,13.0,11.0,2013.0,14333300.0,41.08,41.14,38.8,39.06,16072.54,42.1
13,2013-11-26,14.0,11.0,2013.0,9828400.0,39.16,40.55,38.92,40.18,16072.8,43.31
14,2013-11-27,15.0,11.0,2013.0,5536300.0,40.47,41.4,40.35,40.9,16097.33,44.09
15,2013-11-29,16.0,11.0,2013.0,4107000.0,41.4,41.58,40.9,41.57,16086.41,44.81
16,2013-12-02,17.0,12.0,2013.0,6424300.0,41.79,42.0,40.4,40.78,16008.77,43.96
17,2013-12-03,18.0,12.0,2013.0,5771000.0,40.69,41.6,40.54,41.37,15914.62,44.59
18,2013-12-04,19.0,12.0,2013.0,11014900.0,41.27,43.92,41.27,43.69,15889.77,47.09
19,2013-12-05,20.0,12.0,2013.0,11729400.0,43.45,46.35,42.83,45.62,15821.51,49.17
